Intercept,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,,,,,,,,,,,,,,
53,334,116,0,0,0,1,0,4,3,8,1,0.78,0.986117251,2.680805344,0.728320325,-0.533960116,,,1,1,,,,,
54,324,112,0,0,0,1,0,4,2.5,8.1,1,0.72,0.819222052,2.268734193,0.694071178,-0.594562936,,,1,1,,,,,
55,322,110,0,0,1,0,0,3,3.5,8,0,0.7,0.65065022,1.916786757,0.657156973,-0.615027431,,,1,1,,,,,
56,320,103,0,0,1,0,0,3,3,7.7,0,0.64,0.2448895,1.277480144,0.560918236,-0.666340352,,,1,1,,,,,
57,316,102,0,0,1,0,0,2,3,7.4,0,0.64,0.024923737,1.02523693,0.506230612,-0.689735504,,,1,1,,,,,
58,298,99,0,1,0,0,0,4,2,7.6,0,0.46,-0.169267275,0.844283218,0.457783929,-0.689953648,,,0,0,,,,,
59,300,99,1,0,0,0,0,3,2,6.8,1,0.36,-0.367099485,0.692740724,0.409242074,-0.65850476,,,0,0,,,,,
60,311,104,0,1,0,0,0,2,2,8.3,0,0.42,0.509430671,1.664343366,0.624673001,-0.765996754,,,0,1,,,,,
61,309,100,0,1,0,0,0,3,3,8.1,0,0.48,0.388209112,1.474338054,0.595851505,-0.719632534,,,0,1,,,,,
62,307,101,0,0,1,0,0,4,3,8.2,0,0.47,0.380092876,1.462420408,0.593895503,-0.72250112,,,0,1,,,,,
63,304,105,0,1,0,0,0,3,3,8.2,1,0.54,0.687280067,1.988300129,0.665361591,-0.723573471,,,1,1,,,,,
64,315,107,0,1,0,0,0,4,3,8.5,1,0.56,0.987572561,2.684709587,0.728608191,-0.751151079,,,1,1,,,,,
65,325,111,0,0,1,0,0,3,3.5,8.7,0,0.52,1.124714811,3.079338531,0.754862218,-0.821083149,,,1,1,,,,,
66,325,112,0,0,0,1,0,3.5,3.5,8.92,0,0.55,1.280934223,3.600001359,0.78260876,-0.821542776,,,1,1,,,,,
67,327,114,0,0,1,0,0,3,3,9.02,0,0.61,1.339990051,3.819005511,0.792488305,-0.75517365,,,1,1,,,,,
68,316,107,0,1,0,0,0,3.5,3.5,8.64,1,0.57,1.150429226,3.159548779,0.759589308,-0.769661943,,,1,1,,,,,
69,318,109,0,0,1,0,0,3.5,4,9.22,1,0.68,1.568339703,4.798674352,0.827546791,-0.691158333,,,1,1,,,,,
70,328,115,0,0,0,1,0,4.5,4,9.16,1,0.78,1.733473751,5.660282209,0.849856212,-0.544052331,,,1,1,,,,,
71,332,118,0,0,0,0,1,5,5,9.64,1,0.94,2.576323905,13.14871329,0.929322195,-0.227879216,,,1,1,,,,,
72,336,112,0,0,0,0,1,5,5,9.76,1,0.96,2.558753458,12.91970232,0.928159383,-0.17690195,,,1,1,,,,,
73,321,111,0,0,0,0,1,5,5,9.45,1,0.93,2.22098668,9.216420043,0.902118355,-0.258478621,,,1,1,,,,,
74,314,108,0,0,0,1,0,4.5,4,9.04,1,0.84,1.395406779,4.03661625,0.801454002,-0.444592783,,,1,1,,,,,
75,314,106,0,0,1,0,0,3,5,8.9,0,0.74,1.228482915,3.416043174,0.773552939,-0.576166729,,,1,1,,,,,
76,329,114,0,1,0,0,0,2,4,8.56,1,0.72,1.444764562,4.240853566,0.809191387,-0.616253895,,,1,1,,,,,
77,327,112,0,0,1,0,0,3,3,8.72,1,0.74,1.291422537,3.637958008,0.784387871,-0.578621507,,,1,1,,,,,
78,301,99,0,1,0,0,0,3,2,8.22,0,0.64,0.253270598,1.288231822,0.562981342,-0.665686207,,,1,1,,,,,
79,296,95,0,1,0,0,0,3,2,7.54,1,0.44,-0.11164165,0.894364695,0.472118541,-0.688005855,,,0,0,,,,,
80,294,93,1,0,0,0,0,1.5,2,7.36,0,0.46,-0.349938614,0.704731349,0.413397307,-0.694379294,,,0,0,,,,,
81,312,105,0,0,1,0,0,2,3,8.02,1,0.5,0.608613779,1.837881921,0.647624521,-0.738751082,,,0,1,,,,,
82,340,120,0,0,0,1,0,5,5,9.5,1,0.96,2.257687301,9.560951975,0.905311566,-0.189783614,,,1,1,,,,,
83,320,110,0,0,0,0,1,5,4.5,9.22,1,0.92,1.991404954,7.325818977,0.879891696,-0.287268849,,,1,1,,,,,
84,322,115,0,0,0,0,1,4,4.5,9.36,1,0.92,2.216217866,9.172573278,0.901696456,-0.280774768,,,1,1,,,,,
85,340,115,0,0,0,0,1,4.5,4.5,9.45,1,0.94,2.415150173,11.19145088,0.917975308,-0.230493796,,,1,1,,,,,
86,319,103,0,0,0,1,0,4.5,3.5,8.66,0,0.76,0.865519582,2.376240418,0.703812562,-0.558967905,,,1,1,,,,,
87,315,106,0,0,1,0,0,4.5,3.5,8.42,0,0.72,0.737254644,2.090189317,0.676395231,-0.597409013,,,1,1,,,,,
88,317,107,0,1,0,0,0,3.5,3,8.28,0,0.66,0.702843918,2.019487806,0.668818003,-0.641210231,,,1,1,,,,,
89,314,108,0,0,1,0,0,4.5,3.5,8.14,0,0.64,0.599290402,1.820826287,0.645493945,-0.653483994,,,1,1,,,,,
90,316,109,0,0,0,1,0,4.5,3.5,8.76,1,0.74,1.202410473,3.328129627,0.768953316,-0.575351742,,,1,1,,,,,
91,318,106,0,1,0,0,0,4,4,7.92,1,0.64,0.757281393,2.132470983,0.680763204,-0.657162053,,,1,1,,,,,
92,299,97,0,0,1,0,0,5,3.5,7.66,0,0.38,-0.05961679,0.942125497,0.485100215,-0.68643737,,,0,0,,,,,
93,298,98,0,1,0,0,0,4,3,8.03,0,0.34,0.192109951,1.211803749,0.547880321,-0.728490975,,,0,1,,,,,
94,301,97,0,1,0,0,0,3,3,7.88,1,0.44,0.299698457,1.349451828,0.5743688,-0.722314715,,,0,1,,,,,
95,303,99,0,0,1,0,0,2,2.5,7.66,0,0.36,-0.048888426,0.952287375,0.487780327,-0.686601531,,,0,0,,,,,
96,304,100,0,0,0,1,0,1.5,2.5,7.84,0,0.42,0.109565318,1.11579295,0.527363961,-0.703412226,,,0,1,,,,,
97,306,100,0,1,0,0,0,3,3,8,0,0.48,0.30159885,1.352018755,0.574833322,-0.710506556,,,0,1,,,,,
98,331,120,0,0,1,0,0,4,4,8.96,1,0.86,1.739882959,5.696676639,0.850672198,-0.405312035,,,1,1,,,,,
99,332,119,0,0,0,1,0,5,4.5,9.24,1,0.9,1.950264206,7.030544847,0.875475448,-0.328014592,,,1,1,,,,,
100,323,113,0,0,1,0,0,4,4,8.88,1,0.79,1.477266615,4.380954467,0.814159364,-0.515825142,,,1,1,,,,,
101,322,107,0,0,1,0,0,3.5,3.5,8.46,1,0.71,1.036584773,2.819571077,0.738190498,-0.604162944,,,1,1,,,,,
102,312,105,0,1,0,0,0,2.5,3,8.12,0,0.64,0.539108238,1.714477274,0.631604947,-0.65357013,,,1,1,,,,,
103,314,106,0,1,0,0,0,4,3.5,8.25,0,0.62,0.688821968,1.991368255,0.665704816,-0.668661273,,,1,1,,,,,
104,317,104,0,1,0,0,0,4.5,4,8.47,0,0.57,0.857756418,2.357864691,0.702191693,-0.722384105,,,1,1,,,,,
105,326,112,0,0,1,0,0,3.5,3,9.05,1,0.74,1.475483866,4.373151282,0.813889476,-0.589556506,,,1,1,,,,,
106,316,110,0,0,1,0,0,4,4.5,8.78,1,0.69,1.353918188,3.872569296,0.794769466,-0.649417825,,,1,1,,,,,
107,329,111,0,0,0,1,0,4.5,4.5,9.18,1,0.87,1.730646401,5.644301209,0.849495083,-0.388097158,,,1,1,,,,,
108,338,117,0,0,0,1,0,3.5,4.5,9.46,1,0.91,2.121334703,8.342264503,0.892959571,-0.304134096,,,1,1,,,,,
109,331,116,0,0,0,0,1,5,5,9.38,1,0.93,2.367312029,10.66867662,0.914300479,-0.255307852,,,1,1,,,,,
110,304,103,0,0,0,0,1,5,4,8.64,0,0.68,1.119142412,3.062226947,0.753829608,-0.640714492,,,1,1,,,,,
111,305,108,0,0,0,0,1,3,3,8.48,0,0.61,1.050873008,2.86014696,0.740942505,-0.70967272,,,1,1,,,,,
112,321,109,0,0,0,1,0,4,4,8.68,1,0.69,1.264838967,3.542522226,0.779857984,-0.640743527,,,1,1,,,,,
113,301,107,0,0,1,0,0,3.5,3.5,8.34,1,0.62,0.78472881,2.191812463,0.686698385,-0.674057063,,,1,1,,,,,
114,320,110,0,1,0,0,0,4,3.5,8.56,0,0.72,1.012528166,2.752551133,0.733514624,-0.593415631,,,1,1,,,,,
115,311,105,0,0,1,0,0,3.5,3,8.45,1,0.59,0.835605846,2.306210834,0.69753895,-0.702795321,,,1,1,,,,,
116,310,106,0,0,0,1,0,4.5,4.5,9.04,1,0.66,1.379485831,3.972858383,0.79890841,-0.693534153,,,1,1,,,,,
117,299,102,0,0,1,0,0,4,3.5,8.62,0,0.56,0.649264123,1.914131745,0.656844615,-0.705984009,,,1,1,,,,,
118,290,104,0,0,0,1,0,2,2.5,7.46,0,0.45,-0.167476066,0.84579686,0.458228572,-0.688275317,,,0,0,,,,,
119,296,99,0,1,0,0,0,3,3.5,7.28,0,0.47,-0.184477568,0.831538592,0.454010959,-0.691860832,,,0,0,,,,,
120,327,104,0,0,0,0,1,3,3.5,8.84,1,0.71,1.610720705,5.006418078,0.833511423,-0.649216877,,,1,1,,,,,
121,335,117,0,0,0,0,1,5,5,9.56,1,0.94,2.532125816,12.58022097,0.926363496,-0.228416126,,,1,1,,,,,
122,334,119,0,0,0,0,1,4.5,4.5,9.48,1,0.94,2.465742744,11.77222265,0.921705092,-0.229474528,,,1,1,,,,,
123,310,106,0,0,0,1,0,1.5,2.5,8.36,0,0.57,0.603228941,1.828011823,0.646394689,-0.695733432,,,1,1,,,,,
124,308,108,0,0,1,0,0,3.5,3.5,8.22,0,0.61,0.615342642,1.850290478,0.649158566,-0.6720619,,,1,1,,,,,
125,301,106,0,0,0,1,0,2.5,3,8.47,0,0.57,0.63547699,1.887922446,0.653730314,-0.698315483,,,1,1,,,,,
126,300,100,0,0,1,0,0,2,3,8.66,1,0.64,0.793590968,2.211322975,0.68860186,-0.658784775,,,1,1,,,,,
127,323,113,0,0,1,0,0,4,3,9.32,1,0.85,1.626695983,5.08703926,0.835716519,-0.423470213,,,1,1,,,,,
128,319,112,0,0,1,0,0,2.5,2,8.71,1,0.78,1.106950923,3.025120492,0.751560232,-0.529133127,,,1,1,,,,,
129,326,112,0,0,1,0,0,3.5,3,9.1,1,0.84,1.506036959,4.508826675,0.818473142,-0.44128061,,,1,1,,,,,
130,333,118,0,0,0,0,1,5,5,9.35,1,0.92,2.407617327,11.10746413,0.917406322,-0.278814192,,,1,1,,,,,
131,339,114,0,0,0,0,1,4,4.5,9.76,1,0.96,2.584348494,13.25465079,0.929847457,-0.176108671,,,1,1,,,,,
132,303,105,0,0,0,0,1,5,4.5,8.65,0,0.77,1.21810503,3.380775191,0.771729898,-0.53928482,,,1,1,,,,,
133,309,105,0,0,0,0,1,3.5,3.5,8.56,0,0.71,1.12194294,3.070814821,0.754348934,-0.607263693,,,1,1,,,,,
134,323,112,0,0,0,0,1,4,4.5,8.78,0,0.79,1.631466221,5.111363617,0.836370397,-0.521291611,,,1,1,,,,,
135,333,113,0,0,0,0,1,4,4,9.28,1,0.89,2.159494509,8.666755584,0.896552676,-0.346742627,,,1,1,,,,,
136,314,109,0,0,0,1,0,3.5,4,8.77,1,0.82,1.269412743,3.558762041,0.780642203,-0.476132655,,,1,1,,,,,
137,312,103,0,0,1,0,0,5,4,8.45,0,0.76,0.71826197,2.050865646,0.672224176,-0.569546271,,,1,1,,,,,
138,316,100,0,1,0,0,0,1.5,3,8.16,1,0.71,0.688030984,1.989793737,0.665528766,-0.606702402,,,1,1,,,,,
139,326,116,0,1,0,0,0,4.5,3,9.08,1,0.8,1.613770619,5.021710534,0.833934229,-0.504354865,,,1,1,,,,,
140,318,109,1,0,0,0,0,3.5,3.5,9.12,0,0.78,1.405444221,4.077337579,0.803046383,-0.528540533,,,1,1,,,,,
141,329,110,0,1,0,0,0,4,3,9.15,1,0.84,1.566233444,4.788577739,0.827245993,-0.440250527,,,1,1,,,,,
142,332,118,0,1,0,0,0,4.5,3.5,9.36,1,0.9,1.937229451,6.939498093,0.874047454,-0.328343555,,,1,1,,,,,
143,331,115,0,0,0,0,1,4,3.5,9.44,1,0.92,2.222177199,9.227398894,0.902223428,-0.280667262,,,1,1,,,,,
144,340,120,0,0,0,1,0,4.5,4,9.92,1,0.97,2.403983155,11.06717097,0.917130535,-0.158624961,,,1,1,,,,,
145,325,112,0,1,0,0,0,3,3.5,8.96,1,0.8,1.535655061,4.644366879,0.822832211,-0.502133986,,,1,1,,,,,
146,320,113,0,1,0,0,0,2,2.5,8.64,1,0.81,1.21716329,3.377592881,0.771563956,-0.490596738,,,1,1,,,,,
147,315,105,0,0,1,0,0,2,2.5,8.48,0,0.75,0.679101907,1.972105803,0.663538223,-0.579944296,,,1,1,,,,,
148,326,114,0,0,1,0,0,3,3,9.11,1,0.83,1.562869736,4.772497419,0.826764756,-0.455922934,,,1,1,,,,,
149,339,116,0,0,0,1,0,4,3.5,9.8,1,0.96,2.188254304,8.919628553,0.899189774,-0.193791345,,,1,1,,,,,
150,311,106,0,1,0,0,0,3.5,3,8.26,1,0.79,0.795182786,2.214845802,0.68894309,-0.539584994,,,1,1,,,,,
151,334,114,0,0,0,1,0,4,4,9.43,1,0.93,1.937739111,6.943035782,0.874103551,-0.270198169,,,1,1,,,,,
152,332,116,0,0,0,0,1,5,5,9.28,1,0.94,2.314707203,10.12195881,0.910087781,-0.233096654,,,1,1,,,,,
153,321,112,0,0,0,0,1,5,5,9.06,1,0.86,2.003489776,7.414887293,0.881162995,-0.407001227,,,1,1,,,,,
154,324,105,0,0,1,0,0,3,4,8.75,0,0.79,1.081582163,2.949342202,0.746793276,-0.519099125,,,1,1,,,,,
155,326,108,0,0,1,0,0,3,3.5,8.89,0,0.8,1.18686627,3.276796504,0.766180131,-0.503711233,,,1,1,,,,,
156,312,109,0,0,1,0,0,3,3,8.69,0,0.77,0.906733166,2.476219907,0.712331203,-0.547760932,,,1,1,,,,,
157,315,105,0,0,1,0,0,2,2.5,8.34,0,0.7,0.593553248,1.810409835,0.64418001,-0.617843048,,,1,1,,,,,
158,309,104,0,1,0,0,0,2,2.5,8.26,0,0.65,0.527704402,1.695036716,0.628947541,-0.648403967,,,1,1,,,,,
159,306,106,0,1,0,0,0,2,2.5,8.14,0,0.61,0.470507338,1.600806136,0.615503829,-0.668811973,,,1,1,,,,,
160,297,100,1,0,0,0,0,1.5,2,7.9,0,0.52,0.151259386,1.163298362,0.537742913,-0.692979196,,,1,1,,,,,
161,315,103,1,0,0,0,0,1.5,2,7.86,0,0.57,0.342293028,1.408172871,0.584747419,-0.683761289,,,1,1,,,,,
162,298,99,1,0,0,0,0,1.5,3,7.46,0,0.53,-0.010485841,0.989568944,0.497378564,-0.6934755,,,1,0,,,,,
163,318,109,0,0,1,0,0,3,3,8.5,0,0.67,0.841639569,2.320167935,0.698810416,-0.636116853,,,1,1,,,,,
164,317,105,0,0,1,0,0,3.5,3,8.56,0,0.68,0.777445327,2.17590643,0.685129262,-0.626930259,,,1,1,,,,,
165,329,111,0,0,0,1,0,4.5,4,9.01,1,0.81,1.567046962,4.792474918,0.827362222,-0.487251608,,,1,1,,,,,
166,322,110,0,0,0,0,1,4.5,4,8.97,0,0.78,1.628625532,5.096864426,0.835981263,-0.537446695,,,1,1,,,,,
167,302,102,0,0,1,0,0,3.5,5,8.33,0,0.65,0.685804757,1.985368932,0.665033025,-0.647950243,,,1,1,,,,,
168,313,102,0,0,1,0,0,2,3,8.27,0,0.64,0.531043471,1.700706021,0.629726452,-0.653645406,,,1,1,,,,,
169,293,97,0,1,0,0,0,2,4,7.8,1,0.64,0.32041593,1.377700672,0.579425614,-0.661067721,,,1,1,,,,,
170,311,99,0,1,0,0,0,2.5,3,7.98,0,0.65,0.320154914,1.377341117,0.579362005,-0.657881991,,,1,1,,,,,
171,312,101,0,1,0,0,0,2.5,3.5,8.04,1,0.68,0.64305882,1.902290754,0.655444583,-0.628220343,,,1,1,,,,,
172,334,117,0,0,0,0,1,4,4.5,9.07,1,0.89,2.182660673,8.869874725,0.898681591,-0.346919162,,,1,1,,,,,
173,322,110,0,0,0,1,0,4,5,9.13,1,0.86,1.688573224,5.411753832,0.844036433,-0.40595987,,,1,1,,,,,
174,323,113,0,0,0,1,0,4,4.5,9.23,1,0.89,1.760913497,5.817749466,0.853324032,-0.352316415,,,1,1,,,,,
175,321,111,0,0,0,1,0,4,4,8.97,1,0.87,1.483681339,4.409147406,0.815127981,-0.39728872,,,1,1,,,,,
176,320,111,0,0,0,1,0,4.5,3.5,8.87,1,0.85,1.345267148,3.839212041,0.793354788,-0.43327483,,,1,1,,,,,
177,329,119,0,0,0,1,0,4.5,4.5,9.16,1,0.9,1.884962904,6.586110118,0.868180137,-0.329852346,,,1,1,,,,,
178,319,110,0,0,1,0,0,3.5,3.5,9.04,0,0.82,1.251562746,3.49580174,0.777570263,-0.476862563,,,1,1,,,,,
179,309,108,0,0,1,0,0,2.5,3,8.12,0,0.72,0.521194339,1.684037761,0.627427,-0.612062364,,,1,1,,,,,
180,307,102,0,0,1,0,0,3,3,8.27,0,0.73,0.46185987,1.587022898,0.613455296,-0.613350049,,,1,1,,,,,
181,300,104,0,0,1,0,0,3.5,3,8.16,0,0.71,0.367680265,1.444380146,0.59089833,-0.632738584,,,1,1,,,,,
182,305,107,0,1,0,0,0,2.5,2.5,8.42,0,0.71,0.644832791,1.905668358,0.655845101,-0.608832154,,,1,1,,,,,
183,299,100,0,1,0,0,0,3,3.5,7.88,0,0.68,0.228480838,1.256689444,0.55687301,-0.658531922,,,1,1,,,,,
184,314,110,0,0,1,0,0,4,4,8.8,0,0.75,1.113032306,3.043573462,0.752693995,-0.562354592,,,1,1,,,,,
185,316,106,0,1,0,0,0,2.5,4,8.32,0,0.72,0.835581109,2.306153785,0.697533731,-0.594167117,,,1,1,,,,,
186,327,113,0,0,0,1,0,4.5,4.5,9.11,1,0.89,1.712503788,5.542822169,0.847160755,-0.354240226,,,1,1,,,,,
187,317,107,0,0,1,0,0,3.5,3,8.68,1,0.84,1.068792662,2.911861775,0.744367246,-0.466227582,,,1,1,,,,,
188,335,118,0,0,0,0,1,4.5,3.5,9.44,1,0.93,2.309546564,10.06985759,0.909664601,-0.256347577,,,1,1,,,,,
189,331,115,0,0,0,0,1,4.5,3.5,9.36,1,0.93,2.164204527,8.707672446,0.896988696,-0.260206336,,,1,1,,,,,
190,324,112,0,0,0,0,1,5,5,9.08,1,0.88,2.04121509,7.69995966,0.885056938,-0.36704911,,,1,1,,,,,
191,324,111,0,0,0,0,1,4.5,4,9.16,1,0.9,1.958932697,7.091753973,0.876417399,-0.327806088,,,1,1,,,,,
192,323,110,0,0,0,0,1,4,5,8.98,1,0.87,1.948148557,7.015686406,0.87524462,-0.386511178,,,1,1,,,,,
193,322,114,0,0,0,0,1,4.5,4,8.94,1,0.86,1.869948024,6.487959171,0.866452263,-0.405140986,,,1,1,,,,,
194,336,118,0,0,0,0,1,4.5,5,9.53,1,0.94,2.552200261,12.83531377,0.927721191,-0.228156048,,,1,1,,,,,
195,316,109,0,0,1,0,0,3.5,3,8.76,0,0.77,0.974425209,2.649643782,0.726000657,-0.544322158,,,1,1,,,,,
196,307,107,0,1,0,0,0,3,3.5,8.52,1,0.78,1.009677295,2.74471514,0.732956991,-0.53279726,,,1,1,,,,,
197,306,105,0,1,0,0,0,3,2.5,8.26,0,0.73,0.504842096,1.656723896,0.623596565,-0.608559016,,,1,1,,,,,
198,310,106,0,1,0,0,0,3.5,2.5,8.33,0,0.73,0.593351356,1.810044365,0.644133732,-0.600053782,,,1,1,,,,,
199,311,104,0,0,1,0,0,4.5,4.5,8.43,0,0.7,0.787163239,2.197154773,0.687221899,-0.611247014,,,1,1,,,,,
200,313,107,0,0,1,0,0,4,4.5,8.69,0,0.72,1.034581414,2.813928119,0.737803134,-0.593761042,,,1,1,,,,,
201,317,103,0,0,1,0,0,2.5,3,8.54,1,0.73,0.918150579,2.504653944,0.714665124,-0.583841861,,,1,1,,,,,
202,315,110,0,1,0,0,0,3.5,3,8.46,1,0.72,1.034669463,2.814175892,0.737820167,-0.59376261,,,1,1,,,,,
